method,R,mean_time,std_time,mean_sse,mean_iter
KN,128,0.00019622235170875987,4.945649904708575e-05,81730.88981589193,1.0
KN,256,0.000260013989948978,9.185168059990128e-05,191027.94270035854,1.0
LK,128,0.0016472360002808273,0.0007638984158726111,80383.59651729002,4.0
LK,256,0.0014197363246542711,0.00027488417628276397,188381.29879986309,5.0
LX,128,0.014268083323258907,0.02318658106784038,80352.78422513053,5.0
LX,256,0.0011841390126695235,0.0002536063661941462,188962.1822945952,5.333333333333333
MB,128,0.00153150000066186,0.0002462798854532422,80502.74952249047,6.0
MB,256,0.0017167363160600264,0.00020574099574908417,188930.09982081596,6.0
